Date	Time	Acetic Acid	Acetone	Ammonia	C2H2	C2H4	C3H6	CH4	CO	CO2	Cyclopentene	Ethanol	Formaldehyde	Formic Acid	Furan	Glycolaldehyde	H2O	HCl	HCN	Isobutylene	Methanol	Methyl Formate	Methylpropionate	N2O	Nitrous Acid	NO	NO2	Ozone	SO2
2016/03/04	13:24:39.292	1.0701	76.4295	0.5247	0.0000	0.1882	0.0145	1.7013	0.4277	778.9101	13.9405	0.0000	0.0000	0.2174	0.0000	1.5748	7106.2338	0.0000	1.4788	0.0000	0.3022	0.0033	1.2308	0.4525	1.3640	0.0000	51.3084	0.0000	0.4384
2016/03/04	13:24:44.482	0.5957	6.0189	0.4845	0.0000	0.2813	0.0211	1.7131	0.5198	785.3519	16.0256	0.0010	0.0000	0.1921	0.0000	1.1233	7579.9960	0.0000	1.0746	0.0000	0.4042	0.0280	1.2460	0.4713	1.1798	0.0000	50.9942	0.0000	0.3273
2016/03/04	13:24:53.769	2.4269	74.3833	0.4871	0.0000	0.1410	0.0000	1.7293	0.3686	784.2456	17.5338	0.0000	0.0000	0.1730	0.0000	1.5255	7193.1030	0.0000	1.1451	0.1463	0.3461	0.0424	1.2766	0.4622	1.2552	0.0000	54.1395	0.0000	0.6958
2016/03/04	13:25:02.535	1.3597	84.7341	0.5115	0.0000	0.2178	0.0100	1.7415	0.4859	765.7330	14.4703	0.0000	0.0000	0.2203	0.0000	0.8311	7206.1861	0.0000	1.2602	0.0000	0.4469	0.0013	1.2701	0.5022	1.2828	0.0000	53.0651	0.0000	0.8450
2016/03/04	13:25:14.185	3.9064	89.1480	0.5182	0.0000	0.1442	0.0072	1.7087	0.4132	787.8911	16.5157	0.0000	0.0000	0.1165	0.0000	1.0646	8441.3074	0.0000	1.4763	0.0615	0.4141	0.0981	1.3285	0.5062	1.5117	0.0000	54.7628	0.0849	0.5866
2016/03/04	13:25:26.062	0.9225	3.1366	0.4936	0.0000	0.2064	0.0193	1.7389	0.4125	804.2932	16.3531	0.0000	0.0000	0.2142	0.0000	1.2039	7212.2505	0.0000	1.3332	0.0000	0.3736	0.0077	1.2466	0.5159	1.4568	0.0000	50.8977	0.0000	0.8605
2016/03/04	13:25:36.359	1.0138	3.2623	0.4592	0.0000	0.1973	0.0000	1.7385	0.3950	791.7819	17.2104	0.0000	0.0000	0.1784	0.0000	0.7629	7408.8789	0.0000	1.6537	0.0000	0.4825	0.0248	1.2920	0.4755	1.5408	0.0000	50.8458	0.0000	0.6486
2016/03/04	13:25:42.270	1.1749	45.6598	0.5419	0.0000	0.2557	0.0184	1.7119	0.4812	781.7403	13.4308	0.0000	0.0146	0.2294	0.0000	0.7359	7723.1454	0.0000	1.0083	0.0000	0.3795	0.0262	1.2061	0.4931	1.0722	0.0000	52.9336	0.0000	0.5793
2016/03/04	13:25:56.171	3.9414	63.7476	0.4527	0.0000	0.1647	0.0192	1.7063	0.4665	778.9804	16.1166	0.0000	0.0000	0.2308	0.0000	0.7557	8757.0955	0.0000	1.0706	0.0000	0.4230	0.0372	1.2663	0.5068	1.1335	0.0000	56.1635	0.0000	0.4718
2016/03/04	13:26:06.411	2.8875	2.4577	0.4670	0.0000	0.2192	0.0140	1.7547	0.3883	777.3647	16.4684	0.0000	0.0000	0.2190	0.0000	1.6027	7921.9597	0.0000	1.3570	0.0000	0.4323	0.0792	1.3195	0.4711	0.8072	0.0000	52.4906	0.0000	0.4449
2016/03/04	13:26:15.984	2.7713	2.1387	0.4364	0.0000	0.2739	0.0297	1.7027	0.4424	781.0203	17.2227	0.0000	0.0000	0.2542	0.0000	1.3615	7892.2452	0.0000	1.4161	0.0000	0.4702	0.0866	1.2402	0.5163	1.2457	0.0000	54.0037	0.0000	0.7030
2016/03/04	13:26:25.413	1.0640	4.0325	0.4796	0.0000	0.1176	0.0275	1.6916	0.4114	758.6392	16.1111	0.0000	0.0000	0.2558	0.0000	1.6685	7565.5461	0.0000	1.3187	0.0000	0.4181	0.0245	1.2741	0.4991	1.0820	0.0000	50.4745	0.0000	0.3766
2016/03/04	13:26:37.789	3.6393	91.1213	0.4789	0.0000	0.2084	0.0246	1.6954	0.4152	760.1196	17.5496	0.0000	0.0000	0.1590	0.0000	1.5992	8183.0904	0.0000	1.3309	0.0000	0.4253	0.0440	1.2556	0.4610	1.1652	0.0000	55.6219	0.0000	0.5480
2016/03/04	13:26:48.475	3.2644	5.2327	0.4595	0.0000	0.1739	0.0070	1.7638	0.4535	788.6145	16.7039	0.0000	0.0000	0.1654	0.0000	1.2091	7692.7212	0.0000	1.3898	0.0548	0.4047	0.0642	1.2261	0.4883	1.1857	0.0000	50.4279	0.0000	0.5330
2016/03/04	13:26:56.899	2.4308	87.7804	0.4371	0.0000	0.1940	0.0184	1.7105	0.4052	791.2575	14.7733	0.0000	0.0000	0.2110	0.0000	1.2755	8373.5100	0.0000	1.3629	0.0096	0.5223	0.0166	1.1428	0.4785	1.4934	0.0000	53.6293	0.0000	0.3450
2016/03/04	13:27:08.132	0.9526	91.8656	0.5199	0.0000	0.1064	0.0287	1.6772	0.4347	779.8300	16.4495	0.0000	0.0091	0.1985	0.0000	1.2011	7764.9653	0.0000	1.1393	0.0000	0.4746	0.0174	1.1838	0.4751	1.1117	0.0000	49.1782	0.0000	0.5885
2016/03/04	13:27:17.493	2.8158	84.6919	0.5278	0.0000	0.2499	0.0197	1.7317	0.4805	787.5637	18.3331	0.0009	0.0000	0.1803	0.0000	1.0697	7407.0440	0.0000	1.3503	0.0000	0.4080	0.0077	1.1944	0.4634	0.9860	0.0000	50.6025	0.0000	0.7843
2016/03/04	13:27:27.021	3.0043	92.1767	0.5356	0.0000	0.2083	0.0362	1.6660	0.3786	791.0346	16.6372	0.0000	0.0000	0.1723	0.0000	1.4049	8274.0999	0.0000	1.2700	0.0000	0.4149	0.0408	1.2055	0.4880	1.4415	0.0000	50.1894	0.0000	0.8368
2016/03/04	13:27:36.382	4.0205	82.9598	0.4598	0.0000	0.2621	0.0131	1.7692	0.3935	786.4623	13.8508	0.0000	0.0000	0.2725	0.0000	1.6201	7999.4356	0.0000	1.0605	0.0000	0.4325	0.0065	1.3013	0.4638	1.2587	0.0000	50.0937	0.0000	0.3493
